pair_id,metric,n,b,c,n_discordant,delta,p_value,uncorrected_significant,bh_q_value,bh_significant_q05,direction
qwen_2b,harmbench_asr_judge,200,16,5,21,0.055,0.0266,True,0.133,False,harmful-ward
qwen_2b,mmlu_accuracy,300,19,45,64,-0.0867,0.00156,True,0.0293,True,down
qwen_2b,arc_accuracy,1172,86,101,187,-0.0128,0.30593,False,0.4462,False,down
qwen_2b,xstest_over_refusal,250,2,8,10,-0.024,0.10938,False,0.2734,False,down
qwen_4b,harmbench_asr_judge,200,7,2,9,0.025,0.17969,False,0.3993,False,harmful-ward
qwen_4b,mmlu_accuracy,300,15,16,31,-0.0033,1.0,False,1.0,False,down
qwen_4b,arc_accuracy,1172,26,51,77,-0.0213,0.00587,True,0.0391,True,down
qwen_4b,xstest_over_refusal,250,1,3,4,-0.008,0.625,False,0.7812,False,down
llama_3_2_3b,harmbench_asr_judge,200,2,2,4,0.0,1.0,False,1.0,False,harmful-ward
llama_3_2_3b,mmlu_accuracy,300,11,24,35,-0.0433,0.04096,True,0.1638,False,down
llama_3_2_3b,arc_accuracy,1172,42,75,117,-0.0282,0.00293,True,0.0293,True,down
llama_3_2_3b,xstest_over_refusal,250,6,2,8,0.016,0.28906,False,0.4462,False,up
mistral_7b,harmbench_asr_judge,200,20,28,48,-0.04,0.31233,False,0.4462,False,safe-ward
mistral_7b,mmlu_accuracy,300,14,19,33,-0.0167,0.48685,False,0.6491,False,down
mistral_7b,arc_accuracy,1172,49,38,87,0.0094,0.28361,False,0.4462,False,up
mistral_7b,xstest_over_refusal,250,1,1,2,0.0,1.0,False,1.0,False,up
phi4_mini,harmbench_asr_judge,200,5,5,10,0.0,1.0,False,1.0,False,harmful-ward
phi4_mini,mmlu_accuracy,300,12,19,31,-0.0233,0.28104,False,0.4462,False,down
phi4_mini,arc_accuracy,1172,37,55,92,-0.0154,0.07576,False,0.2165,False,down
phi4_mini,xstest_over_refusal,250,2,9,11,-0.028,0.06543,False,0.2165,False,down
