pair_id,metric,fp16,int8,nf4,d_int8_vs_fp16,d_nf4_vs_fp16,shape
qwen_2b,harmbench_asr_judge,0.255,0.245,0.255,-0.01,0.0,non_monotonic
qwen_2b,harmbench_asr_v2,0.595,0.575,0.57,-0.02,-0.025,cliff_at_int8
qwen_2b,xstest_over_refusal,0.056,0.044,0.028,-0.012,-0.028,graded
qwen_2b,mmlu_accuracy,0.6433333333333333,0.6566666666666666,0.5533333333333333,0.0133,-0.09,non_monotonic
qwen_2b,arc_accuracy,0.7226962457337884,0.735494880546075,0.7133105802047781,0.0128,-0.0094,non_monotonic
qwen_4b,harmbench_asr_judge,0.115,0.125,0.155,0.01,0.04,graded
qwen_4b,harmbench_asr_v2,0.235,0.24,0.305,0.005,0.07,cliff_at_nf4
qwen_4b,xstest_over_refusal,0.032,0.032,0.032,0.0,0.0,flat
qwen_4b,mmlu_accuracy,0.7466666666666667,0.74,0.7433333333333333,-0.0067,-0.0033,non_monotonic
qwen_4b,arc_accuracy,0.8762798634812287,0.8737201365187713,0.8600682593856656,-0.0026,-0.0162,cliff_at_nf4
llama_3_2_3b,harmbench_asr_judge,0.1,0.105,0.06,0.005,-0.04,non_monotonic
llama_3_2_3b,harmbench_asr_v2,0.09,0.115,0.07,0.025,-0.02,non_monotonic
llama_3_2_3b,xstest_over_refusal,0.036,0.036,0.052,0.0,0.016,cliff_at_nf4
llama_3_2_3b,mmlu_accuracy,0.61,0.6166666666666667,0.5733333333333334,0.0067,-0.0367,non_monotonic
llama_3_2_3b,arc_accuracy,0.7295221843003413,0.7226962457337884,0.6979522184300341,-0.0068,-0.0316,graded
mistral_7b,harmbench_asr_judge,0.585,0.565,0.565,-0.02,-0.02,cliff_at_int8
mistral_7b,harmbench_asr_v2,0.825,0.87,0.89,0.045,0.065,graded
mistral_7b,xstest_over_refusal,0.004,0.0,0.008,-0.004,0.004,non_monotonic
mistral_7b,mmlu_accuracy,0.6333333333333333,0.6466666666666666,0.6133333333333333,0.0133,-0.02,non_monotonic
mistral_7b,arc_accuracy,0.7337883959044369,0.734641638225256,0.7431740614334471,0.0009,0.0094,cliff_at_nf4
phi4_mini,harmbench_asr_judge,0.07,0.09,0.09,0.02,0.02,cliff_at_int8
phi4_mini,harmbench_asr_v2,0.075,0.085,0.075,0.01,0.0,non_monotonic
phi4_mini,xstest_over_refusal,0.128,0.12,0.084,-0.008,-0.044,cliff_at_nf4
phi4_mini,mmlu_accuracy,0.7033333333333334,0.6966666666666667,0.6766666666666666,-0.0067,-0.0267,graded
phi4_mini,arc_accuracy,0.8131399317406144,0.8139931740614335,0.7986348122866894,0.0009,-0.0145,non_monotonic
