path,category,fully read?,execution/test evidence,audit owner,findings,not reviewed reason
".github/workflows/agent-harness.yml","CI","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"Makefile","Make targets","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"configs/artifact_policy.yaml","config/policy","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"configs/default.yaml","config/policy","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"configs/tc1.yaml","config/policy","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"configs/tc1_512.yaml","config/policy","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"configs/tc1_int8.yaml","config/policy","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"configs/tc1_int8_512.yaml","config/policy","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"configs/tc1_sensitivity.yaml","config/policy","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"configs/tc1_sensitivity_512.yaml","config/policy","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"dashboard/__init__.py","dashboard","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"dashboard/app.py","dashboard","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"dashboard/data.py","dashboard","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"dashboard/theme.py","dashboard","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"docs/FYP_Interim_2026-07-10.docx","current report artifact","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"docs/FYP_Interim_2026-07-10_humanized.docx","current report artifact","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
