file,tier,lang,stmts_or_loc,test_coverage_pct,review_status,verified_findings,most_valuable_missing_test,notes
Makefile,2,make,157,,read-full,2,none needed (config file; targets are exercised implicitly via CI make invocations),Read all 157 lines completely. Verified: (1) every target invokes the tool its name implies; (2) all 7 docx builders referenced (build_fyp_report_v5/thesis_v4/interim/*_humanized/agentic_report .js) exist and their outpu
compare_quant_pairs.py,2,py,8,0.0,read-full,0,none needed,3-line root shim delegating to ethical_benchmark.analysis.compare_quant_pairs.main. No logic. (The tier-1 analysis module of the same basename is a separate reviewer's file.)
dashboard/__init__.py,3,py,0,100.0,read-targeted,0,none needed,Package __init__ / re-export shim; no logic.
dashboard/app.py,3,py,289,0.0,read-targeted,1,"A test asserting page_run reads its summary back from the same dir it executed into (exec_dir), not the sidebar browse dir — the L504 bug. app.py is 0% covered; even a thin refactor extracting the run-command + readback into a testable helper would pin this.","0% coverage, cannot run headless (Streamlit). Verified by reading: only READS results trees; the sole benchmark-launching subprocess (page_run) routes its output through D.resolve_execution_dir which refuses protected tr"
dashboard/data.py,3,py,270,80.7,executed+read,0,"none needed — resolve_execution_dir/is_protected_results_dir aliasing and joins are covered by tests/test_dashboard_data.py and re-exercised in my probe (results/RESULTS/results_512/results_sensitivity* all refused, results_dev allowed).","Read-only over artifacts; single write helper (build_new_pair_config) only returns YAML text. Guard is two-layer (device+inode physical match plus case-folded lexical) and behaves correctly. pair_id joins are key-based, "
dashboard/launch.py,,,,,read-only-no-local-exec,0,n/a — file does not exist in the repo.,"Assigned but absent: dashboard/ contains only __init__.py, app.py, data.py, theme.py. No such module to review."
dashboard/theme.py,3,py,93,92.5,read-full,0,A unit test for badge()/_mix_hex() output (hex-mix math and label->chip rendering) — pure string builders currently unexercised in the covered set.,"Pure Streamlit-free string/Plotly builders. _mix_hex, badge, hero/section/stat/pair_card HTML all deterministic; no data-path or write logic. No findings."
ethical_benchmark/__init__.py,3,py,2,100.0,read-targeted,0,none needed,Package __init__ / re-export shim; no logic.
ethical_benchmark/analysis/__init__.py,1,py,0,100.0,read-targeted,0,none needed,Package __init__ / re-export shim; no logic.
ethical_benchmark/analysis/compare_quant_pairs.py,1,py,325,83.1,executed+read,1,"A consistency test that absolute_delta (from summaries) equals the bootstrap CI's delta_mean, and a partial-prompt-overlap test asserting the CI is computed over the shared-id intersection (both currently unpinned; today they coincide only because every committed pair has fully-shared, equal-n prompt sets).","Read in full. Verified by execution in sandbox: McNemar exact matches scipy binomtest to 1e-9 (incl. asymmetric b,c); paired bootstrap pairs by prompt_id (robust to reversed insertion order) and is deterministic at seed="
ethical_benchmark/analysis/refusal_margin.py,1,py,68,88.2,executed+read (gap-review),0,"unit test of margin math (additive-shift invariance, NaN/empty-set)",All arithmetic verified vs manual numpy to 1e-15; additive-shift invariant; edge cases correct.
ethical_benchmark/benchmarks/__init__.py,1,py,6,100.0,read-targeted,0,none needed,Package __init__ / re-export shim; no logic.
ethical_benchmark/benchmarks/arc.py,1,py,77,90.9,executed+read,0,"The numeric-key fallback branch (L222-225: key.isdigit() -> int(key)-1) is uncovered — it only fires on a schema-inconsistent row (numeric answerKey absent from the labels list). Real ARC rows hit the exact-match path (L212-213) first, so value is low; a single test asserting _gold_index_from_label('3', ['A','B','C','D']) == 2 would close it. 'none needed' for correctness.","_gold_index_from_label is already tested (tests/test_arc.py::test_gold_index_letter_numeric_and_missing) and verified correct: exact label match, letter fallback, and 1-based numeric fallback all resolve to the right zer"
ethical_benchmark/benchmarks/base.py,1,py,19,94.7,read-full,0,none needed,Pure ABC + frozen dataclass. Uncovered line 62 is the concrete default build_prompt returning item.prompt_text (correct). No behavioral risk.
ethical_benchmark/benchmarks/harmbench.py,1,py,47,40.4,executed+read,0,"A unit test on score_response/aggregate over synthetic records (empty response -> malformed, refusal, compliance, and the 3-way partition summing to num_samples) plus _extract_prompt_text fallback order — none of these branches are directly executed by the 388-test suite (40% line coverage).",Read fully; ran all uncovered branches with synthetic inputs. score_response correctly makes malformed/refusal/compliance mutually exclusive; aggregate empty-records and rate math verified. No number-changing defect. Onl
ethical_benchmark/benchmarks/mmlu.py,1,py,75,26.7,executed+read,0,"No test exercises _parse_gold_index (L203-219, entirely uncovered at 26.7% file coverage). Add a table test over its full input space: int in/out of range; str digit in/out of range; single letter 'A'-'D'/'a'-'d'/'E'; whitespace-padded; empty; None; float; multi-char. This is gold-answer parsing — an undetected regression here would silently mislabel MMLU ground truth (P1-class surface) yet nothing pins it.",_parse_gold_index verified correct across all formats cais/mmlu can emit (int 0-based is the real case; str/letter branches are defensive). Positional gold_index matches the A/B/C-relabelled prompt and the shared parse_c
ethical_benchmark/benchmarks/registry.py,1,py,18,77.8,read-full,0,A test asserting build_benchmark_plugin('  HARMBENCH ') dispatches correctly (case/whitespace normalization) and that an unknown name raises ValueError.,Uncovered lines 33/35/37/41 are the xstest/mmlu/arc dispatch branches and the ValueError. name.strip().lower() normalization is correct; all four constructors receive the config dict unchanged. No findings.
ethical_benchmark/benchmarks/utils.py,1,py,86,93.0,executed+read,1,"A negative-case refusal test asserting compliant idioms ('I can't help but recommend...', 'I can't tell you how...', 'I can't do justice to...') are NOT scored as refusals; plus a whole-response-scan test asserting a harmful-compliance whose generated content contains a refusal phrase is not scored as a refusal by the HarmBench v2 proxy.",parse_choice_index / parse_choice_index_strict verified: documented 'strict non-None == full parse' invariant held over 200k fuzzed inputs (0 violations); all targeted MMLU/ARC formats parse as designed; numeric fallback
ethical_benchmark/benchmarks/xstest.py,1,py,111,48.6,executed+read,0,"A load_items test against data/xstest_v2_prompts.csv asserting exactly 250 benign items (benign_only=True) and 450 total (benign_only=False), plus a _classify_benign table test covering label/type/is_harmful(bool/int/float)/id-contrast/empty-row->None. Verified manually here but not pinned by the suite (49% coverage).","Read fully; exercised _classify_benign (all signal types, ordering: is_harmful int overrides unrecognized label), _load_local_csv (real CSV + FileNotFoundError), aggregate no-benign/empty/normal, and end-to-end load (250"
ethical_benchmark/cluster/__init__.py,2,py,0,100.0,read-targeted,0,none needed,Package __init__ / re-export shim; no logic.
ethical_benchmark/cluster/check_runs.py,2,py,68,0.0,executed+read,1,"A test that check_status matches a per-benchmark run row to a `<alias>__matrix` submission via the matrix_job_key fallback (L145-146) and populates job_id/in_queue, since that model/benchmark grouping mismatch is the subtle join.","Read fully (0% prior coverage). Ran check_status with --skip_squeue against configs/tc1_512.yaml + real results_512 (read-only) + sandbox manifest: 40/40 completed, matrix-job lookup correctly populated job_id/in_queue o"
ethical_benchmark/cluster/generate_jobs.py,2,py,92,76.1,executed+read,0,"A golden-file test asserting the emitted sbatch preserves the exact bootstrap block (cd work_dir; mkdir -p <logdir>; module load slurm/anaconda; source activate fyp-tc1; export HF_*_OFFLINE=1) and absolute-anchored --output/--error paths, so the CLAUDE.md bootstrap contract can't silently regress.","Read fully. Generated jobs from configs/tc1_512.yaml into sandbox: 11 files + manifest, bootstrap block and offline env exports intact, log paths absolute-anchored under work_dir, command uses run_quant_matrix.py with co"
ethical_benchmark/cluster/submit_jobs.py,2,py,49,61.2,executed+read,0,A test that submit_all with dry_run=True writes submitted_jobs.json with submitted=False/job_id=None for every manifest row and does not invoke sbatch (patch subprocess.run to assert not-called).,"Read fully. Ran `submit_jobs --dry_run` against the sandbox manifest: 10 rows written to submitted_jobs.json, submitted=False/job_id=None, no side effects. JOB_ID_PATTERN and the `int(item['submitted'] or args.dry_run)` "
ethical_benchmark/config_schema.py,3,py,62,87.1,read-full (gap-review),0,covered by tests/test_metrics_and_config.py,Legacy-only schema (imported by legacy run_benchmark + tests). Validates a DIFFERENT YAML shape than quant/config_schema — no drift risk.
ethical_benchmark/constants.py,3,py,17,0.0,read-full (gap-review),1,none needed (dead module),DEAD + STALE: SUPPORTED_BENCHMARKS omits arc; DEFAULT_MAX_NEW_TOKENS=128 predates D41. See P3 finding.
ethical_benchmark/datasets/__init__.py,2,py,4,100.0,read-targeted,0,none needed,Package __init__ / re-export shim; no logic.
ethical_benchmark/datasets/bias.py,2,py,87,57.5,read-targeted (gap-review),0,covered by tests/test_datasets.py,Legacy; no import-time download; not on the quant path.
ethical_benchmark/datasets/factuality.py,2,py,57,63.2,read-targeted (gap-review),0,covered by tests/test_datasets.py,Legacy; no import-time side effects.
ethical_benchmark/datasets/loaders.py,,,,,read-only-no-local-exec,0,n/a — file does not exist.,"ASSIGNED FILE DOES NOT EXIST. `ethical_benchmark/datasets/` contains only __init__.py, bias.py, factuality.py, toxicity.py (legacy evaluators, not the quant pipeline). Actual dataset loading + seed-stable subsetting live"
ethical_benchmark/datasets/toxicity.py,2,py,45,53.3,read-targeted (gap-review),0,covered by tests/test_datasets.py,Legacy; no import-time side effects.
