pair_id,subject,n,baseline_accuracy,quantized_accuracy,accuracy_delta
qwen_2b,business_ethics,25,0.68,0.56,-0.12
qwen_2b,clinical_knowledge,48,0.7291666666666666,0.5625,-0.16666666666666663
qwen_2b,college_biology,33,0.5757575757575758,0.5151515151515151,-0.06060606060606066
qwen_2b,high_school_macroeconomics,94,0.6702127659574468,0.5106382978723404,-0.15957446808510645
qwen_2b,high_school_world_history,56,0.6428571428571429,0.625,-0.017857142857142905
qwen_2b,human_aging,44,0.5227272727272727,0.5681818181818182,0.045454545454545525
qwen_4b,business_ethics,25,0.72,0.68,-0.039999999999999925
qwen_4b,clinical_knowledge,48,0.8541666666666666,0.8541666666666666,0.0
qwen_4b,college_biology,33,0.7575757575757576,0.7272727272727273,-0.030303030303030276
qwen_4b,high_school_macroeconomics,94,0.7127659574468085,0.723404255319149,0.010638297872340496
qwen_4b,high_school_world_history,56,0.8035714285714286,0.8035714285714286,0.0
qwen_4b,human_aging,44,0.6363636363636364,0.6363636363636364,0.0
llama_3_2_3b,business_ethics,25,0.4,0.44,0.03999999999999998
llama_3_2_3b,clinical_knowledge,48,0.6666666666666666,0.5625,-0.10416666666666663
llama_3_2_3b,college_biology,33,0.696969696969697,0.5454545454545454,-0.1515151515151516
llama_3_2_3b,high_school_macroeconomics,94,0.5319148936170213,0.4787234042553192,-0.05319148936170209
llama_3_2_3b,high_school_world_history,56,0.7142857142857143,0.75,0.0357142857142857
llama_3_2_3b,human_aging,44,0.6363636363636364,0.6590909090909091,0.022727272727272707
mistral_7b,business_ethics,25,0.68,0.64,-0.040000000000000036
mistral_7b,clinical_knowledge,48,0.6666666666666666,0.5833333333333334,-0.08333333333333326
mistral_7b,college_biology,33,0.6060606060606061,0.6060606060606061,0.0
mistral_7b,high_school_macroeconomics,94,0.5425531914893617,0.5106382978723404,-0.03191489361702127
mistral_7b,high_school_world_history,56,0.75,0.7857142857142857,0.0357142857142857
mistral_7b,human_aging,44,0.6363636363636364,0.6363636363636364,0.0
phi4_mini,business_ethics,25,0.48,0.48,0.0
phi4_mini,clinical_knowledge,48,0.8541666666666666,0.8125,-0.04166666666666663
phi4_mini,college_biology,33,0.7272727272727273,0.6666666666666666,-0.06060606060606066
phi4_mini,high_school_macroeconomics,94,0.6382978723404256,0.6382978723404256,0.0
phi4_mini,high_school_world_history,56,0.8214285714285714,0.7678571428571429,-0.05357142857142849
phi4_mini,human_aging,44,0.6363636363636364,0.6136363636363636,-0.022727272727272707
