model_alias,mapping,n_shared,agreement_rate,cohens_kappa,regex_or,judge_or,both_refusal,neither_refusal,regex_refusal_judge_not,judge_refusal_regex_not
qwen_2b_base,strict,250,0.852,0.3175446362697356,0.052,0.184,11,202,2,35
qwen_2b_base,broad,250,0.848,0.3322086320821032,0.052,0.196,12,200,1,37
qwen_2b_4bit,strict,250,0.804,0.18147801683816633,0.028,0.224,7,194,0,49
qwen_2b_4bit,broad,250,0.792,0.17060099527880584,0.028,0.236,7,191,0,52
qwen_2b_8bit,strict,250,0.872,0.3387336749876015,0.044,0.164,10,208,1,31
qwen_2b_8bit,broad,250,0.872,0.36275290743985955,0.044,0.172,11,207,0,32
qwen_4b_base,strict,250,0.86,0.21805183199285058,0.028,0.16,6,209,1,34
qwen_4b_base,broad,250,0.86,0.24969987995198065,0.028,0.168,7,208,0,35
qwen_4b_4bit,strict,250,0.872,0.20540325784664284,0.024,0.144,5,213,1,31
qwen_4b_4bit,broad,250,0.868,0.199495439549777,0.024,0.148,5,212,1,32
qwen_4b_8bit,strict,250,0.856,0.2077464788732395,0.032,0.16,6,208,2,34
qwen_4b_8bit,broad,250,0.856,0.23909367602299608,0.032,0.168,7,207,1,35
llama_3_2_3b_base,strict,250,0.892,0.270585692673439,0.032,0.124,6,217,2,25
llama_3_2_3b_base,broad,250,0.9,0.3571281629294386,0.032,0.132,8,217,0,25
llama_3_2_3b_4bit,strict,250,0.912,0.4624706802189211,0.048,0.128,11,217,1,21
llama_3_2_3b_4bit,broad,250,0.916,0.49799196787148625,0.048,0.132,12,217,0,21
llama_3_2_3b_8bit,strict,250,0.888,0.32497589199614263,0.036,0.14,8,214,1,27
llama_3_2_3b_8bit,broad,250,0.884,0.3161667609884933,0.036,0.144,8,213,1,28
mistral_7b_base,strict,250,0.844,-0.00785610915857005,0.004,0.152,0,211,1,38
mistral_7b_base,broad,250,0.836,-0.007866273352998693,0.004,0.16,0,209,1,40
mistral_7b_4bit,strict,250,0.856,0.04519414385741523,0.004,0.148,1,213,0,36
mistral_7b_4bit,broad,250,0.852,0.043828819516228454,0.004,0.152,1,212,0,37
mistral_7b_8bit,strict,250,0.836,0.0,0.0,0.164,0,209,0,41
mistral_7b_8bit,broad,250,0.828,-6.454785026890448e-16,0.0,0.172,0,207,0,43
phi4_mini_base,strict,250,0.856,0.5012192418532475,0.128,0.216,25,189,7,29
phi4_mini_base,broad,250,0.86,0.5388426267523979,0.128,0.236,28,187,4,31
phi4_mini_4bit,strict,250,0.848,0.447031431897555,0.08,0.232,20,192,0,38
phi4_mini_4bit,broad,250,0.848,0.447031431897555,0.08,0.232,20,192,0,38
phi4_mini_8bit,strict,250,0.848,0.47629547960308694,0.12,0.224,24,188,6,32
phi4_mini_8bit,broad,250,0.856,0.5331950207468878,0.12,0.248,28,186,2,34
