"report","ref_or_location","claim_or_item","status","evidence","required_action"
"FYP_Report_2026-07-01_v5","HarmBench","512 token budget","EXTERNAL_VERIFIED","arXiv:2402.04249","Keep DirectRequest scope"
"FYP_Report_2026-07-01_v5","HarmBench classifier","primary scoring role","EXTERNAL_VERIFIED","https://huggingface.co/cais/HarmBench-Llama-2-13b-cls","Retain classifier/proxy distinction"
"FYP_Report_2026-07-01_v5","XSTest","250 safe prompts","EXTERNAL_VERIFIED","ACL 2024.naacl-long.301","Keep benign-only denominator"
"FYP_Report_2026-07-01_v5","QLoRA","NF4 basis","EXTERNAL_VERIFIED","QLoRA NeurIPS 2023","No finding"
"FYP_Report_2026-07-01_v5","reference 21","Phi-4-mini provenance","P2","Phi-4 paper cited but Phi-4-Mini paper arXiv:2503.01743 exists","Cite Phi-4-Mini report at first model description"
"FYP_Report_2026-07-01_v5","bibliography","IEEE presentation","P3","1. labels and incomplete fields","Use strict IEEE or name adapted style"
"Thesis v4","all current references","semantic support and numbering","PARTIALLY_VERIFIED","verify_report_claims passed strict first-use numbering and selected claim checks","Fresh semantic verification remains unverified"
"Interim","all current references","semantic support and numbering","PARTIALLY_VERIFIED","verify_report_claims passed selected headline/citation checks","Fresh semantic verification remains unverified"
"Humanized alternates","all citations","semantic support","UNVERIFIED","Rendered but not complete semantic review","Recheck after final edits"
"All current reports","remaining references","metadata and adjacent semantic support","UNVERIFIED","Prior internal ledger is historical not fresh external forensic proof","Verify entry by entry"
