claim,published_where,artifact_chain,recompute_result,verdict,verifier
"qwen_2b judge ΔASR @512 = 0.000 (CI [-0.055,+0.055], McNemar p=1.000, b/c=16/16)",report Abstract/§6.3/Table 6.1; thesis §6,scores.judge.harmbench_cls.jsonl → judge_agreement.json/multiple_comparisons.json,EXACT,VERIFIED,MAIN + WF-headline + WF-agreement
"llama ΔASR -0.040, only individually-significant, a DECREASE (p=0.0215, b=1 c=9)",report §6.3/§6.13,judge sidecars → judge_agreement.json,EXACT,VERIFIED,MAIN + 2 WF
"llama/mistral ΔASR CI endpoints as printed ([-0.075,-0.010] / [-0.085,+0.040]... )",report Table 6.1,"printed from headline_512_vs_128.json (10k resamples), caption cites judge_agreement.json (2k)",0.005 divergence between the two committed artifacts; verdict unchanged,P3: wrong source attribution + mildly circular claim-lock anchor,WF-stats + WF-agreement + MAIN
"BH-FDR: exactly 3 survivors, none ASR (q=0.008/0.008/0.049), family=20",report Abstract/§6.5.1,multiple_comparisons.json contrasts,"EXACT (all 20 q to 4dp, own step-up)",VERIFIED,MAIN + 3 WF
qwen_4b ΔASR +0.040 n.s. (p=0.096),report §6.3,sidecars,EXACT,VERIFIED,WF-headline
phi ΔASR +0.020 n.s.; label robust_preservation,report §6.13/Table 6.2,sidecars → classify_pair_change,delta EXACT; label = FLOAT ARTIFACT: exact 0.02 ≥ harm_tol ⇒ alignment_degradation per printed Table 3.4 rule; float 0.0199..9 ⇒ robust_preservation,P1: label contradicts printed rule under exact arithmetic (n.s. either way),3 WF + MAIN replay
mistral ΔASR -0.020 n.s. (judge); v2 proxy says +0.065 'significant',report §6.13 vs results_512/analysis/pair_interpretations.json,judge sidecars vs v2 sidecars,judge value EXACT; committed v2-proxy artifact contradicts headline with no in-file superseded marker,P2: contradiction surface in primary tree,MAIN
"Qwen-1.7B XSTest ΔOR -0.028 'borderline' (bootstrap CI excludes 0, McNemar p=0.065)",report §6.3/D44,xstest scores.v2 → pairwise_deltas,EXACT; criterion (exact test) applied consistently,VERIFIED,WF-headline + WF-validity
"phi over-refusal -0.044 significant, survives FDR (q=0.049)",report §6.13,v2 xstest sidecars,"EXACT; NOTE: scored by regex (design task; sanctioned-with-caveats), no task-specific human validation",VERIFIED with P2/P3 construct caveat,WF-headline + WF-benchmarks
"qwen_2b MMLU -0.090 significant, survives FDR",report Table 6.1,mmlu raw score_fields,EXACT; NOTE P2: 49% of qwen_2b_4bit items scored via weakest parse fallback vs 3% for base (undisclosed parser-format asymmetry); ARC corroborates direction,VERIFIED with construct caveat,WF-headline + WF-benchmarks + MAIN parser replay
"qwen_2b MMLU CI in §6.3 prose [-0.137,-0.037]",report §6.3 line 629,results/ (128 tree!) pairwise_deltas,"STALE: 128-era interval; 512 value [-0.140,-0.043] appears in the same report's Table 6.1",P2: internal inconsistency,WF-stats + MAIN grep
"Multiseed @512: qwen_2b 0/5, qwen_4b 1/5, llama 2/5 (both decreases); greedy in range",report §6.6.1,results_sensitivity_512 sidecars → sensitivity_multiseed.json,EXACT,VERIFIED,WF-headline + WF-validity
"128-era qwen_2b +0.055 (CI [+0.010,+0.100], p=0.027) — always 128-scoped",report §6.16 + history rows,results/ 128 sidecars,EXACT (p=0.0266); scoping verified in all current docs,VERIFIED,WF-agreement
llama INT8 +0.040 both-judge @128; vanishes @512 (+0.005/+0.010 n.s.),report §6.15,INT8 sidecars both trees,EXACT (p=0.021/0.008 @128),VERIFIED,WF-agreement
INT8@512: no significant delta on any endpoint,report §6.15,INT8 @512 sidecars,CONFIRMED (20 endpoints),VERIFIED,WF-headline
"§6.15 scorer note: judge-vs-proxy κ at INT8 'lowest Mistral, highest Llama AND Phi'",report §6.15,judge_agreement_int8.json @512,artifact ALL-NULL (n_shared=0); recompute: mistral .214 < qwen_2b .387 < phi .530 < qwen_4b .557 < llama .847 — Phi NOT among highest,P2: unsupported + partially false,WF-agreement + MAIN recompute
"Judge-vs-regex κ @512 (Qwen .36-.59, Mistral .25-.28, Llama .71-.84, Phi .67-.77)",report Table 6.3,judge × v2 sidecar joins,EXACT to machine precision,VERIFIED,WF-agreement
gpt-4o second judge κ 0.68-0.95 (all 10),report §6.12 Result 4,api_judge sidecars,EXACT (0.678-0.954),VERIFIED,WF-agreement
"Human gold set: κ 0.59 classifier / 0.11 regex; 37/46(18,9)/132(101,6); precision 0.61/0.23",report §6.12 Result 5,human_validation.json,"2×2 arithmetic EXACT; NOTE P1s: annotator saw ≤2000 chars on 114/200 items (scorers saw full text; tool asserted otherwise); κ computed on disagreement-oversampled sheet without reweighting (population regex κ ≈0.5, classifier ≈0.8) with one-sided scoping; single annotator = author (identity undisclosed)",VERIFIED arithmetic; P1 construct caveats,MAIN + 3 WF
'29 judge-only vs 325 regex-only' one-directionality,thesis/interim,sidecar joins all 10 aliases,EXACT,VERIFIED,WF-agreement
60.3% direct-prefix truncation @128; per-family rates; 9.2% prefix-mismatch,report §6.16,genlen_robustness.json + raw prefix sampling,CONFIRMED; '62%' ceiling proxy measured on 512 tree & construction undocumented (P3),VERIFIED with P3,WF-genlen
"§6.14 flip numbers (92 flips, 50/42, qwen 16-vs-5, AUC 0.76/0.64) 'budget-invariant'",report §6.14,refusal_margin.json (flip_zoom uses 128 judge labels); results_512 copy is byte-identical md5,"FALSE for flips: 512-label recompute gives 112 flips, 56/56, qwen 16/16 (matches §6.3), AUC 0.73/0.67. Margins ARE budget-invariant; flip set is NOT. Internal contradiction with §6.3/Ch10",P1: mislabeled-era numbers + false invariance claim (conclusion survives),WF-scripts2 + MAIN md5/flip_zoom
"Labels @512 (qwen_2b broad_degradation, llama capability_collapse, mistral alignment_improvement)",report §6.11/§6.13,judge deltas → classify_pair_change replay,EXACT for 4/5 pairs (phi = the float-artifact exception),VERIFIED,WF-validity + WF-stats
'Every matched-pair safety delta computed within a single run',report line ~780,raw.jsonl batch-timestamp forensics,"FALSE for qwen_2b_base @512 harmbench (5 smoke records + resumed 195-record matrix run, shifted batch boundaries); 3 more base aliases in 128 tree",P2: two report sentences false as written; impact bounded (inside CI; null safe),WF-loader-gen
339 automated tests,report Appendix D + 4 more locations,pytest --collect-only = 339,'All 329 tests pass' remains at line 311 — internal contradiction in canonical + humanized report,P1(text): self-contradiction; count 339 correct,MAIN + 2 WF
"Table 5.2 environment versions (torch 2.11.0+cu130, transformers 5.5.0, Python 3.11.15)",report Table 5.2,machine-recorded NOWHERE (requirements floors only; no freeze; no versions in artifacts),cannot be verified from artifacts,P2: provenance gap (thesis overstates as 'pinned dependencies'),WF-protocol + WF-harness
HF revision pins = run-time provenance,report §5.7/Ch8,"pins added 2026-07-09, runs 2026-06-29/30; no revision in run artifacts; INT8/sensitivity configs unpinned; judge model unpinned",retroactive; presented as pinned without post-hoc disclosure,P2,WF-protocol + WF-cluster + WF-loader-gen
