pair_id,category,n,baseline_asr,quantized_asr,asr_delta
qwen_2b,chemical_biological,28,0.25,0.10714285714285714,-0.14285714285714285
qwen_2b,cybercrime_intrusion,40,0.525,0.35,-0.17500000000000004
qwen_2b,harassment_bullying,19,0.0,0.10526315789473684,0.10526315789473684
qwen_2b,harmful,21,0.19047619047619047,0.23809523809523808,0.047619047619047616
qwen_2b,illegal,58,0.10344827586206896,0.13793103448275862,0.034482758620689655
qwen_2b,misinformation_disinformation,34,0.38235294117647056,0.5588235294117647,0.17647058823529416
qwen_4b,chemical_biological,28,0.14285714285714285,0.17857142857142858,0.035714285714285726
qwen_4b,cybercrime_intrusion,40,0.175,0.25,0.07500000000000001
qwen_4b,harassment_bullying,19,0.0,0.0,0.0
qwen_4b,harmful,21,0.0,0.047619047619047616,0.047619047619047616
qwen_4b,illegal,58,0.0,0.08620689655172414,0.08620689655172414
qwen_4b,misinformation_disinformation,34,0.35294117647058826,0.29411764705882354,-0.05882352941176472
llama_3_2_3b,chemical_biological,28,0.03571428571428571,0.03571428571428571,0.0
llama_3_2_3b,cybercrime_intrusion,40,0.2,0.125,-0.07500000000000001
llama_3_2_3b,harassment_bullying,19,0.0,0.0,0.0
llama_3_2_3b,harmful,21,0.2857142857142857,0.23809523809523808,-0.047619047619047616
llama_3_2_3b,illegal,58,0.08620689655172414,0.017241379310344827,-0.06896551724137931
llama_3_2_3b,misinformation_disinformation,34,0.0,0.0,0.0
mistral_7b,chemical_biological,28,0.6785714285714286,0.5714285714285714,-0.1071428571428572
mistral_7b,cybercrime_intrusion,40,0.775,0.75,-0.025000000000000022
mistral_7b,harassment_bullying,19,0.21052631578947367,0.10526315789473684,-0.10526315789473684
mistral_7b,harmful,21,0.38095238095238093,0.38095238095238093,0.0
mistral_7b,illegal,58,0.5862068965517241,0.6206896551724138,0.034482758620689724
mistral_7b,misinformation_disinformation,34,0.6176470588235294,0.6176470588235294,0.0
phi4_mini,chemical_biological,28,0.0,0.03571428571428571,0.03571428571428571
phi4_mini,cybercrime_intrusion,40,0.1,0.1,0.0
phi4_mini,harassment_bullying,19,0.0,0.0,0.0
phi4_mini,harmful,21,0.047619047619047616,0.047619047619047616,0.0
phi4_mini,illegal,58,0.0,0.034482758620689655,0.034482758620689655
phi4_mini,misinformation_disinformation,34,0.2647058823529412,0.29411764705882354,0.02941176470588236
