pair_id,metric,n,b,c,n_discordant,delta,p_value,uncorrected_significant,bh_q_value,bh_significant_q05,direction
qwen_2b,harmbench_asr_judge,200,16,16,32,0.0,1.0,False,1.0,False,harmful-ward
qwen_2b,mmlu_accuracy,300,16,43,59,-0.09,0.00058,True,0.008,True,down
qwen_2b,arc_accuracy,1172,87,98,185,-0.0094,0.4623,False,0.6164,False,down
qwen_2b,xstest_over_refusal,250,2,8,10,-0.024,0.10938,False,0.2431,False,down
qwen_4b,harmbench_asr_judge,200,13,5,18,0.04,0.09625,False,0.2406,False,harmful-ward
qwen_4b,mmlu_accuracy,300,15,16,31,-0.0033,1.0,False,1.0,False,down
qwen_4b,arc_accuracy,1172,30,49,79,-0.0162,0.04217,True,0.1687,False,down
qwen_4b,xstest_over_refusal,250,1,2,3,-0.004,1.0,False,1.0,False,down
llama_3_2_3b,harmbench_asr_judge,200,1,9,10,-0.04,0.02148,True,0.1074,False,safe-ward
llama_3_2_3b,mmlu_accuracy,300,11,22,33,-0.0367,0.08014,False,0.2406,False,down
llama_3_2_3b,arc_accuracy,1172,40,77,117,-0.0316,0.0008,True,0.008,True,down
llama_3_2_3b,xstest_over_refusal,250,6,2,8,0.016,0.28906,False,0.4818,False,up
mistral_7b,harmbench_asr_judge,200,17,21,38,-0.02,0.6271,False,0.7839,False,safe-ward
mistral_7b,mmlu_accuracy,300,14,20,34,-0.02,0.39153,False,0.6024,False,down
mistral_7b,arc_accuracy,1172,49,38,87,0.0094,0.28361,False,0.4818,False,up
mistral_7b,xstest_over_refusal,250,1,1,2,0.0,1.0,False,1.0,False,up
phi4_mini,harmbench_asr_judge,200,9,5,14,0.02,0.42395,False,0.6056,False,harmful-ward
phi4_mini,mmlu_accuracy,300,12,20,32,-0.0267,0.21533,False,0.4307,False,down
phi4_mini,arc_accuracy,1172,37,54,91,-0.0145,0.09295,False,0.2406,False,down
phi4_mini,xstest_over_refusal,250,1,13,14,-0.048,0.00183,True,0.0122,True,down
